Codigo;Descripcion;Estado;Stock Minimo;Q Stock;Etapa en ejecución;Q pptada etapa;Q comprada;Qpptada x Lote;Q recibida;Q entregada;Qprom semana;Acción propuesta2;Cant prop;Codigo_str
1179591;"DESAGUE LAVATORIO 1 1/4"" 1 UN";STOCK BAJO NIVEL CRITICO;10.0;5.0;14.0;17.0;29.0;;29.0;29.0;;Recuperar;0.0;1179591
1256198;"DESAGUE LAVATORIO 1 1/4"" C/REB /REJ 1 UN";STOCK OK;10.0;28.0;;;;;;;;;;1256198
1177879;DESAGUE TINA/REBALSE/SIFON 1 UN;STOCK OK;10.0;24.0;14.0;17.0;29.0;;29.0;29.91999999999996;;Recuperar;4.0;1177879
1290581;ESTANQUE LUGANO 1 UN;STOCK OK;10.0;215.0;;;;;;;;;;1290581
1291188;EXTRACTOR RETON 100 BTH HIGRO 1 UN;STOCK OK;15.0;42.0;14.0;46.0;46.0;;46.0;6.0;;Posponer;;1291188
1208621;FRAGUE CERAMICO ALMOND 1 KG;STOCK OK;63.1;120.00003906250004;13.0;109.43;108.81;;108.81;104.34;;Posponer;;1208621
1179524;FRAGUE CERAMICO BLANCO 1 KG;STOCK OK;19.72;31.00000762939453;14.0;58.7;58.38;;58.38000000000001;56.81999999999999;;Posponer;;1179524
1182889;LANA DE VIDRIO 100 MM 1 M2;STOCK OK;400.0;783.0;14.0;243.12;235.72;;235.72;187.22;;Posponer;;1182889
1194492;LANA DE VIDRIO 140 MM 1 M2;STOCK OK;400.0;693.0;13.0;783.67;783.0;;783.0;10.36;;Recuperar;79.63999999999999;1194492
1295453;LATEX CIELOLAT BLANCO 1T;STOCK OK;12.0;34.0;14.0;36.3;43.0;;43.0;25.78;;Posponer;;1295453
1295488;LATEX CIELOLAT MARFIL 1T;STOCK OK;15.0;47.15;14.0;46.5;46.5;;46.5;23.680000000000007;;Posponer;;1295488
1192260;LAVAMANOS VALENCIA 1 UN;STOCK OK;10.0;103.0;11.0;17.0;29.0;;29.0;5.01;;Recuperar;28.99000000000001;1192260
1189191;LAVAPLATO ACERO INOX. DERECHO 0,80 MTS CEMCO 1 UN;STOCK OK;5.0;11.0;12.0;4.0;4.0;;4.0;1.0;;Recuperar;3.0;1189191
1189175;LAVAPLATO ACERO INOX. IZQUIERD O 0,80 MTS CEMCO 1 UN;STOCK OK;5.0;10.0;12.0;14.0;14.0;;14.0;11.0;;Posponer;;1189175
1251346;MALLA DE FIBRA DE VIDRIO 1X50 MTS 1 UN;STOCK OK;8.125;28.100000610351564;15.0;24.13;24.13;;24.13;19.15;;Posponer;;1251346
1270432;MARMOLINA BEIGE (25 KG) 1 TINETA;CERCA DE NIVEL CRITICO;9.533333333;11.0;11.0;86.64;28.0;;28.0;1.0;;Comprar;;1270432
1270483;MARMOLINA BLANCA (25 KG) 1 TINETA;STOCK OK;1.25;36.0;14.0;71.64;15.0;;15.0;13.5;;Comprar;;1270483
1270459;MARMOLINA GRIS ARENA (25 KG) 1 TINETA;STOCK OK;9.533333333;30.0;14.0;71.64;30.0;;30.0;14.13;;Comprar;;1270459
1270441;MARMOLINA MOSTAZA (25 KG) 1 TINETA;STOCK OK;9.533333333;18.0;14.0;71.64;3.0;;3.0;15.0;;Comprar;;1270441
1192956;MASTERSEAL 550 30 KG 1 JUEGO;STOCK OK;5.0;20.0;15.0;15.0;15.0;;15.0;10.0;;Posponer;;1192956
1274821;MASTERWALL BEIGE (IC) 23 KG 1 TINETA;STOCK OK;1.833333333;12.0;13.0;12.1;4.1;;4.1;1.0;;Comprar;;1274821
1274839;MASTERWALL GRIS ARENA(SR) 23KG 1 TINETA;STOCK OK;1.833333333;11.0;14.0;13.2;6.7;;6.699999999999999;1.0;;Comprar;;1274839
1274847;MASTERWALL MOSTAZA (GS) 23 KG 1 TINETA;STOCK OK;1.833333333;13.0;13.0;12.1;4.1;;4.1;1.0;;Comprar;;1274847
1182803;"MEDIDOR AGUA POTABLE 3/4"" 1 U N";STOCK OK;5.0;33.0;13.0;11.0;12.0;;12.0;12.0;;Recuperar;0.0;1182803
1299451;PASTA MURO CI-2005 24 KG 1 TIN;STOCK OK;18.0;38.0;;;;;;;;;;1299451
1264585;MONOMANDO LAVAPLATO LINEA ORNE LLA STRETTO 1 UN;STOCK OK;5.0;17.0;13.0;11.0;14.0;;14.0;11.0;;Recuperar;3.0;1264585
1184121;MONOMANDO LAVATORIO ORNELLA MO SAICO 1 UN;STOCK OK;10.0;26.0;13.0;11.0;24.0;;24.0;19.0;;Recuperar;8.0;1184121
1184139;MONOMANDO TINA-DUCHA ORNELLA M OSAICO 1 UN;STOCK OK;10.0;29.0;13.0;11.0;22.0;;22.0;19.0;;Recuperar;3.0;1184139
1182483;MUEBLE LAVAPLATO 0,8 MTS 1 UN;STOCK BAJO NIVEL CRITICO;5.0;0.0;14.0;17.0;17.0;;17.0;10.0;;Recuperar;7.0;1182483
1274791;NIVELADOR AOCEM MIX-A (20 KG) 1 SACO;STOCK OK;15.215;94.82;14.0;54.58;45.25;;45.25;12.18;;Comprar;;1274791
1180074;OLEO OPACO BLANCO 1 GAL;STOCK OK;8.5;57.0;12.0;28.0;28.0;;28.0;11.600000000000003;;Posponer;;1180074
1183945;OLEO OPACO MARFIL 1 GAL;STOCK OK;2.5;14.0;11.0;12.9;12.9;;12.9;9.199999999999998;;Posponer;;1183945
1183136;PAPEL FIELTRO 10/40 1 ROLLO;STOCK BAJO NIVEL CRITICO;20.0;5.67;16.0;43.32;43.32;;43.32;40.92000000000001;;Posponer;;1183136
1191662;PEDESTAL UNIVERSAL 1 UN;STOCK OK;10.0;236.0;;;;;;;;;;1191662
1201470;PEGAMENTO ALFOMBRA PATEL;STOCK OK;4.15;24.619999618530272;14.0;10.93;10.87;;10.87;0.19;;Posponer;;1201470
1178821;"PINO 2"" X 10"" X 3,20 MT CEPIL LADO";STOCK BAJO NIVEL CRITICO;20.0;3.0;14.0;48.0;48.0;;48.0;36.0;;Recuperar;9.0;1178821
1193713;"PINO 2"" X 2"" X 3,20 MT IMPREGN ADO";STOCK BAJO NIVEL CRITICO;447.5;0.0;16.0;941.0;940.5;;940.5;829.0;;Recuperar;111.5;1193713
1188105;PLANCHA FIBROCEMENTO 4 MM 1 P LANCHA;STOCK BAJO NIVEL CRITICO;80.0;75.0;16.0;60.0;53.0;;53.0;72.0;;Comprar;;1188105
1192999;PLANCHA OSB STD 9,5 MM X 2,44 X 1,22 MTS 1 PLANCHA;STOCK OK;5.0;57.0;15.0;22.0;22.0;;22.0;9.0;;Posponer;;1192999
1179698;PLANCHA YESO-CARTON ST 10 MM 1 ,20 X 2,40 1 PLANCHA;STOCK OK;300.0;468.0;15.0;856.0;856.0;;856.0;705.0;;Recuperar;87.0;1179698
1278928;POLIESTIRENO EXP. 30 MM (20KG/ M3) 1 PLANCHA;STOCK OK;75.0;474.0;16.0;165.0;165.0;;165.0;210.0;;Recuperar;45.0;1278928
1278944;POLIESTIRENO EXP. 70 MM (20KG/ M3) 1 PLANCHA;STOCK OK;60.0;80.0;15.0;156.0;156.0;;156.0;120.0;;Recuperar;48.0;1278944
1278952;POLIESTIRENO EXP. 80 MM (20KG/ M3) 1 PLANCHA;STOCK OK;665.0;1675.0;15.0;2025.0;2026.0;;2026.0;2025.0;;Posponer;;1278952
1192112;PUERTA HDF PRESTIGE 0,65 X 2 M T INTERIOR 1 UN;STOCK OK;5.0;11.0;15.0;13.0;13.0;;13.0;10.0;;Posponer;;1192112
1192121;PUERTA HDF PRESTIGE 0,70 X 2 M T INTERIOR 1 UN;STOCK OK;20.0;76.0;15.0;32.0;58.0;;58.0;20.0;;Recuperar;3.0;1192121
1188471;PUERTA TERCIADO 0,75 X 2 MTS. EXT. C/C 1 UN;STOCK OK;5.0;17.0;14.0;17.0;17.0;;17.0;17.0;;Posponer;;1188471
1260955;PUERTA PROTEGIDA HDF 0,8X2MTS PRESTIGE;STOCK OK;5.0;26.0;14.0;17.0;17.0;;17.0;18.0;;Recuperar;0.0;1260955
1187241;REGULADOR P/GAS 45KG RI 11100 1 UN;STOCK OK;5.0;17.0;12.0;18.0;18.0;;18.0;14.0;;Posponer;;1187241
1196455;SILICONA SANISIL BLCO 1 UN;STOCK OK;7.0;32.0;13.0;13.3;13.0;;13.0;7.600000000000001;;Posponer;;1196455
1177650;SILICONA SIKACRYL AS BLANCO P;STOCK OK;35.0;141.0;12.0;114.0;396.0;;396.0;247.0;;Recuperar;8.0;1177650
1187671;"TAPACAN SMARTSIDE TRIM 5 1/2"" LP 1 UN";STOCK BAJO NIVEL CRITICO;27.5;26.0;16.0;44.0;54.5;;54.5;44.0;;Posponer;;1187671
1187751;"TAPACAN SMARTSIDE TRIM 7 1/4"" LP 1 UN";STOCK BAJO NIVEL CRITICO;22.5;3.5;16.0;49.5;49.0;;49.0;49.5;;Posponer;;1187751
1188463;TERCIADO ESTRUCTURAL 12 MM 1 PLANCHA;STOCK BAJO NIVEL CRITICO;5.0;1.0;14.0;12.0;12.0;;12.0;9.0;;Recuperar;15.0;1188463
1177490;THOMSIT MONTAJE PL 500 3,8 KG 1 GAL;STOCK OK;15.0;25.25;14.0;26.75;44.25;;44.25;28.0;;Recuperar;-16.25;1177490
1180331;TINA 1,20 X 0,70 MTS BLANCA ES MALTADA 1 UN;STOCK OK;5.0;15.0;14.0;12.0;12.0;;12.0;11.920000000000002;;Posponer;;1180331
1256817;TINA BAÑO 1,3X0,7 BLANCA 1UN;STOCK OK;5.0;16.0;14.0;17.0;17.0;;17.0;18.0;;Recuperar;1.0;1256817
1272315;TUBERIA PEX 20 MM;STOCK OK;35.0;247.0;;;;;;;;;;1272315
1198151;VENTANA TECHO 55 X 78 CM 1 UN;STOCK BAJO NIVEL CRITICO;5.0;2.0;16.0;8.0;8.0;;8.0;8.0;;Posponer;;1198151
1275065;"VENTILACION PASIVA 4"" 1 UN";STOCK OK;25.0;78.0;13.0;49.0;55.0;;55.0;47.0;;Recuperar;5.0;1275065
1290599;WC LUGANO DESC. MURO 1 UN;STOCK OK;5.0;90.0;;;;;;;;;;1290599
1290601;WC LUGANO DESC. PISO 1 UN;STOCK OK;5.0;119.0;12.0;18.0;18.0;;18.0;8.0;;;;1290601
1268615;YESO EXPRESS 25 KG;STOCK OK;56.25;110.0;14.0;177.15;177.15;;177.15;250.8;;Recuperar;73.64999999999998;1268615
